  PID TTY           TIME CMD
  437 ??         0:00.32 /System/Library/PrivateFrameworks/CoreWLANKit.framework/Versions/A/XPCServices/WiFiProxy.xpc/Contents/MacOS/WiFiProxy
  441 ??         0:00.17 /usr/libexec/secinitd
  444 ??         0:00.02 /usr/sbin/cfprefsd agent
  445 ??         0:00.08 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  447 ??         0:01.09 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  448 ??         0:00.23 /usr/libexec/trustd --agent
  451 ??         0:02.81 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  452 ??         0:00.27 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  453 ??         0:00.25 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  454 ??         0:00.45 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  455 ??         0:01.38 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  456 ??         0:00.44 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
  457 ??         0:00.02 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  458 ??         0:01.67 /System/Library/Input Methods/EmojiFunctionRowIM.app/Contents/PlugIns/EmojiFunctionRowIM_Extension.appex/Contents/MacOS/EmojiFunctionRowIM_Extension
  460 ??         0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  461 ??         0:00.68 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
  462 ??         0:00.02 /System/Library/PrivateFrameworks/CharacterPicker.framework/Versions/A/XPCServices/com.apple.CharacterPicker.FileService.xpc/Contents/MacOS/com.apple.CharacterPicker.FileService
  463 ??         0:00.30 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  464 ??         0:00.03 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  466 ??         0:00.04 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  467 ??         0:00.20 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  468 ??         0:00.17 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  469 ??         0:00.08 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  470 ??         0:01.42 /System/Library/CoreServices/ControlStrip.app/Contents/MacOS/ControlStrip
  471 ??         0:00.20 /usr/libexec/networkserviceproxy
  473 ??         0:00.14 /System/Library/CoreServices/APFSUserAgent
  474 ??         0:00.30 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
  476 ??         0:00.02 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
  477 ??         0:00.47 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  480 ??         0:00.43 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  481 ??         0:00.21 /usr/libexec/swcd
  482 ??         0:00.46 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  483 ??         0:00.16 /usr/libexec/secinitd
  485 ??         0:00.07 /usr/libexec/videosubscriptionsd
  487 ??         0:00.05 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  489 ??         0:01.14 /Library/Application Support/Tablet/WacomTabletDriver.app/Contents/MacOS/WacomTabletDriver
  490 ??         0:00.04 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
  493 ??         0:00.10 /usr/libexec/dmd
  494 ??         0:00.73 /System/Library/Image Capture/Support/icdd
  498 ??         0:01.09 /Library/Application Support/Identity Finder/UserAgent
  501 ??         0:00.32 /Library/Application Support/Pharos/Notify.app/Contents/MacOS/Notify
  502 ??         0:00.27 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  503 ??         0:00.33 /usr/libexec/knowledge-agent
  504 ??         0:00.11 /System/Library/CoreServices/cloudpaird
  505 ??         0:00.29 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
  506 ??         0:00.20 /System/Library/CoreServices/diagnostics_agent
  507 ??         0:00.57 /usr/libexec/adprivacyd
  509 ??         0:00.41 /System/Library/PrivateFrameworks/PrintingPrivate.framework/Versions/A/PrintUITool
  511 ??         0:00.05 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  517 ??         0:00.02 SafeEjectGPUAgent
  519 ??         0:00.04 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
  530 ??         0:00.15 /usr/sbin/systemsoundserverd
  553 ??         0:00.68 /Applications/Avast.app/Contents/Backend/services/com.avast.proxy -n
